release_name,source_dir,class,difficulty,testbench_file,testbench_kind,in_verilogeval,ve_prob_id,ve_name,duplicate_of,released_as
lemmings1,lemmings1,sequential,3,testbench.sv,systemverilog,1,Prob127,lemmings1,,labels_only
lemmings2,lemmings2,sequential,3,testbench.sv,systemverilog,1,Prob142,lemmings2,,labels_only
lemmings3,lemmings3,sequential,3,testbench.sv,systemverilog,1,Prob152,lemmings3,,labels_only
lemmings4,lemmings4,sequential,3,testbench.sv,systemverilog,1,Prob155,lemmings4,,labels_only
m2014_q4d,m2014_q4d,sequential,3,testbench.sv,systemverilog,1,Prob053,m2014_q4d,,labels_only
mealy_state_machine,mealy_state_machine,sequential,3,testbench.v,plain_verilog,0,,,,full
moore_state_machine,moore_state_machine,sequential,3,testbench.v,plain_verilog,0,,,,full
review2015_fsmseq,review2015_fsmseq,sequential,3,testbench.sv,systemverilog,1,Prob096,review2015_fsmseq,,labels_only
review2015_fsmshift,review2015_fsmshift,sequential,3,testbench.sv,systemverilog,1,Prob095,review2015_fsmshift,,labels_only
review2015_fsmshift_alt,review2015_fsmshift'',sequential,3,testbench.v,plain_verilog,1,Prob095,review2015_fsmshift,review2015_fsmshift,labels_and_our_testbench
review2015_shiftcount,review2015_shiftcount,sequential,3,testbench.sv,systemverilog,1,Prob063,review2015_shiftcount,,labels_only
simple_pipeline,simple_pipeline,sequential,3,testbench.v,plain_verilog,0,,,,full
