class,difficulty,problem,tb_ext,plain_mode,plain_rc,sv_mode,sv_rc,golden_g2012_mismatches,ref_as_dut_plain_mode
sequential logic,Intermediate(3),lemmings3,sv,syntax,92,unknown_module_only,2,compile_fail_g2012,rc=124 syntax
sequential logic,Intermediate(3),lemmings4,sv,syntax,96,unknown_module_only,2,compile_fail_g2012,rc=134 syntax
sequential logic,Intermediate(3),m2014_q4d,sv,syntax,28,unknown_module_only,2,compile_fail_g2012,rc=28 syntax
sequential logic,Intermediate(3),mealy_state_machine,v,unknown_module_only,2,unknown_module_only,2,,
sequential logic,Intermediate(3),moore_state_machine,v,unknown_module_only,2,unknown_module_only,2,,
sequential logic,Intermediate(3),review2015_fsmseq,sv,syntax,54,unknown_module_only,2,compile_fail_g2012,rc=69 syntax
sequential logic,Intermediate(3),review2015_fsmshift,sv,syntax,43,unknown_module_only,2,compile_fail_g2012,rc=58 syntax
sequential logic,Intermediate(3),review2015_fsmshift'',v,unknown_module_only,2,unknown_module_only,2,,
sequential logic,Intermediate(3),review2015_shiftcount,sv,syntax,36,unknown_module_only,2,compile_fail_g2012,rc=36 syntax
sequential logic,Intermediate(3),simple_pipeline,v,unknown_module_only,2,unknown_module_only,2,,
